Serial No,Quantity,Unit Price (USD),Date Ordered,Hospital Name,State,Equipment,Supplier,Supplier Country
1454,15,300,2024-01-30,Sunshine Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
1455,8,500,2024-02-04,Community Hospital,Kaduna,Ultrasound,HealthEquip Ltd.,UK
1456,12,180,2024-02-09,Healing Hands Hospital,Enugu,X-Ray Machine,Radiant Suppliers,China
1457,25,220,2024-02-14,Hope Hospital,Kano,MRI Machine,MedTech Co.,USA
1458,30,320,2024-02-19,Unity Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
1459,10,550,2024-02-24,Metro Hospital,Abuja,Ultrasound,HealthEquip Ltd.,UK
1460,50,130,2024-02-29,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
1461,20,270,2024-03-05,City Medical Center,Lagos,MRI Machine,MedTech Co.,USA
1462,6,300,2024-03-10,General Hospital,Rivers,CT Scanner,TechHealth Inc.,Canada
1463,15,250,2024-03-15,Central Clinic,Ogun,Ultrasound,HealthEquip Ltd.,UK
1464,4,450,2024-03-20,Healing Touch Hospital,Enugu,MRI Machine,Radiant Suppliers,China
1465,25,180,2024-03-25,Sunshine Medical,Lagos,X-Ray Machine,MedTech Co.,USA
1466,18,600,2024-03-30,Hope Clinic,Kano,CT Scanner,HealthEquip Ltd.,UK
1467,14,150,2024-04-04,Metro Medical Center,Abuja,Ultrasound,TechHealth Inc.,Canada
1468,11,200,2024-04-09,State Medical Center,Oyo,MRI Machine,MedTech Co.,USA
1469,30,400,2024-04-14,General Clinic,Lagos,CT Scanner,HealthEquip Ltd.,UK
1470,10,150,2024-04-19,City Hospital,Rivers,Ultrasound,TechHealth Inc.,Canada
1471,12,350,2024-04-24,Hope Hospital,Abuja,MRI Machine,Radiant Suppliers,China
1472,10,450,2024-04-29,Healing Hands Hospital,Enugu,X-Ray Machine,HealthEquip Ltd.,UK
1473,5,600,2024-05-04,Central Hospital,Kaduna,Ultrasound,MedTech Co.,USA
1474,20,120,2024-05-09,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
1475,15,330,2024-05-14,City Medical Center,Lagos,MRI Machine,TechHealth Inc.,Canada
1476,10,450,2024-05-19,Central Hospital,Rivers,Ultrasound,HealthEquip Ltd.,UK
1477,7,200,2024-05-24,Metro Hospital,Abuja,X-Ray Machine,Radiant Suppliers,China
1478,25,280,2024-05-29,Hope Clinic,Kano,CT Scanner,TechHealth Inc.,Canada
1479,30,400,2024-06-03,Sunshine Hospital,Lagos,MRI Machine,MedTech Co.,USA
1480,15,170,2024-06-08,General Hospital,Enugu,Ultrasound,HealthEquip Ltd.,UK
1481,12,300,2024-06-13,State Medical Center,Oyo,CT Scanner,MedTech Co.,USA
1482,6,400,2024-06-18,Healing Hands Hospital,Rivers,MRI Machine,HealthEquip Ltd.,Canada
1483,8,250,2024-06-23,Metro Medical Center,Abuja,X-Ray Machine,TechHealth Inc.,UK
1484,14,150,2024-06-28,Central Clinic,Kaduna,Ultrasound,MedTech Co.,China
1485,25,220,2024-07-03,Community Hospital,Lagos,MRI Machine,MedTech Co.,USA
1486,18,600,2024-07-08,Sunshine Medical,Kano,CT Scanner,HealthEquip Ltd.,UK
1487,10,150,2024-07-13,Hope Hospital,Enugu,Ultrasound,Radiant Suppliers,China
1488,11,300,2024-07-18,City Medical Center,Oyo,X-Ray Machine,HealthEquip Ltd.,UK
1489,25,320,2024-07-23,State Hospital,Lagos,MRI Machine,Radiant Suppliers,China
1490,12,400,2024-07-28,General Hospital,Kaduna,CT Scanner,HealthEquip Ltd.,UK
1491,30,200,2024-08-02,Healing Touch Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
1492,15,150,2024-08-07,Metro Hospital,Abuja,Ultrasound,TechHealth Inc.,Canada
1493,20,350,2024-08-12,Central Hospital,Enugu,MRI Machine,MedTech Co.,USA
1494,5,450,2024-08-17,Sunshine Hospital,Lagos,CT Scanner,HealthEquip Ltd.,UK
1495,10,250,2024-08-22,Community Hospital,Abuja,Ultrasound,Radiant Suppliers,China
1496,14,150,2024-08-27,Hope Clinic,Kano,MRI Machine,TechHealth Inc.,Canada
1497,20,300,2024-09-01,Healing Hands Hospital,Lagos,Defibrillator,SoloSupplier Inc.,UK
1498,5,750,2024-09-06,City Hospital,Rivers,Ventilator,ExclusiveTech Ltd.,Germany
1499,10,400,2024-09-11,Metro Medical Center,Abuja,Surgical Table,HealthEquip Ltd.,UK
1500,12,200,2024-09-16,State Hospital,Oyo,MRI Machine,MedTech Co.,USA
1501,10,250,2024-01-15,General Hospital,Lagos,MRI Machine,MedTech Co.,USA
1502,5,200,2024-01-20,City Hospital,Abuja,MRI Machine,HealthEquip Ltd.,UK
1503,20,150,2024-01-25,Central Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
1504,15,300,2024-01-30,Sunshine Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
1505,8,500,2024-02-04,Community Hospital,Kaduna,Ultrasound,HealthEquip Ltd.,UK
1506,12,180,2024-02-09,Healing Hands Hospital,Enugu,X-Ray Machine,Radiant Suppliers,China
1507,25,220,2024-02-14,Hope Hospital,Kano,MRI Machine,MedTech Co.,USA
1508,30,320,2024-02-19,Unity Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
1509,10,550,2024-02-24,Metro Hospital,Abuja,Ultrasound,HealthEquip Ltd.,UK
1510,50,130,2024-02-29,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
1511,20,270,2024-03-05,City Medical Center,Lagos,MRI Machine,MedTech Co.,USA
1512,6,300,2024-03-10,General Hospital,Rivers,CT Scanner,TechHealth Inc.,Canada
1513,15,250,2024-03-15,Central Clinic,Ogun,Ultrasound,HealthEquip Ltd.,UK
1514,4,450,2024-03-20,Healing Touch Hospital,Enugu,MRI Machine,Radiant Suppliers,China
1515,25,180,2024-03-25,Sunshine Medical,Lagos,X-Ray Machine,MedTech Co.,USA
1516,18,600,2024-03-30,Hope Clinic,Kano,CT Scanner,HealthEquip Ltd.,UK
1517,14,150,2024-04-04,Metro Medical Center,Abuja,Ultrasound,TechHealth Inc.,Canada
1518,11,200,2024-04-09,State Medical Center,Oyo,MRI Machine,MedTech Co.,USA
1519,30,400,2024-04-14,General Clinic,Lagos,CT Scanner,HealthEquip Ltd.,UK
1520,10,150,2024-04-19,City Hospital,Rivers,Ultrasound,TechHealth Inc.,Canada
1521,12,350,2024-04-24,Hope Hospital,Abuja,MRI Machine,Radiant Suppliers,China
1522,10,450,2024-04-29,Healing Hands Hospital,Enugu,X-Ray Machine,HealthEquip Ltd.,UK
1523,5,600,2024-05-04,Central Hospital,Kaduna,Ultrasound,MedTech Co.,USA
1524,20,120,2024-05-09,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
1525,15,330,2024-05-14,City Medical Center,Lagos,MRI Machine,TechHealth Inc.,Canada
1526,10,450,2024-05-19,Central Hospital,Rivers,Ultrasound,HealthEquip Ltd.,UK
1527,7,200,2024-05-24,Metro Hospital,Abuja,X-Ray Machine,Radiant Suppliers,China
1528,25,280,2024-05-29,Hope Clinic,Kano,CT Scanner,TechHealth Inc.,Canada
1529,30,400,2024-06-03,Sunshine Hospital,Lagos,MRI Machine,MedTech Co.,USA
1530,15,170,2024-06-08,General Hospital,Enugu,Ultrasound,HealthEquip Ltd.,UK
1531,12,300,2024-06-13,State Medical Center,Oyo,CT Scanner,MedTech Co.,USA
1532,6,400,2024-06-18,Healing Hands Hospital,Rivers,MRI Machine,HealthEquip Ltd.,Canada
1533,8,250,2024-06-23,Metro Medical Center,Abuja,X-Ray Machine,TechHealth Inc.,UK
1534,14,150,2024-06-28,Central Clinic,Kaduna,Ultrasound,MedTech Co.,China
1535,25,220,2024-07-03,Community Hospital,Lagos,MRI Machine,MedTech Co.,USA
1536,18,600,2024-07-08,Sunshine Medical,Kano,CT Scanner,HealthEquip Ltd.,UK
1537,10,150,2024-07-13,Hope Hospital,Enugu,Ultrasound,Radiant Suppliers,China
1538,11,300,2024-07-18,City Medical Center,Oyo,X-Ray Machine,HealthEquip Ltd.,UK
1539,25,320,2024-07-23,State Hospital,Lagos,MRI Machine,Radiant Suppliers,China
1540,12,400,2024-07-28,General Hospital,Kaduna,CT Scanner,HealthEquip Ltd.,UK
1541,30,200,2024-08-02,Healing Touch Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
1542,15,150,2024-08-07,Metro Hospital,Abuja,Ultrasound,TechHealth Inc.,Canada
1543,20,350,2024-08-12,Central Hospital,Enugu,MRI Machine,MedTech Co.,USA
1544,5,450,2024-08-17,Sunshine Hospital,Lagos,CT Scanner,HealthEquip Ltd.,UK
1545,10,250,2024-08-22,Community Hospital,Abuja,Ultrasound,Radiant Suppliers,China
1546,14,150,2024-08-27,Hope Clinic,Kano,MRI Machine,TechHealth Inc.,Canada
1547,20,300,2024-09-01,Healing Hands Hospital,Lagos,Defibrillator,SoloSupplier Inc.,UK
1548,5,750,2024-09-06,City Hospital,Rivers,Ventilator,ExclusiveTech Ltd.,Germany
1549,10,400,2024-09-11,Metro Medical Center,Abuja,Surgical Table,HealthEquip Ltd.,UK
1550,12,200,2024-09-16,State Hospital,Oyo,MRI Machine,MedTech Co.,USA
1551,10,250,2024-01-15,General Hospital,Lagos,MRI Machine,MedTech Co.,USA
1552,5,200,2024-01-20,City Hospital,Abuja,MRI Machine,HealthEquip Ltd.,UK
1553,20,150,2024-01-25,Central Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
1554,15,300,2024-01-30,Sunshine Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
1555,8,500,2024-02-04,Community Hospital,Kaduna,Ultrasound,HealthEquip Ltd.,UK
1556,12,180,2024-02-09,Healing Hands Hospital,Enugu,X-Ray Machine,Radiant Suppliers,China
1557,25,220,2024-02-14,Hope Hospital,Kano,MRI Machine,MedTech Co.,USA
1558,30,320,2024-02-19,Unity Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
1559,10,550,2024-02-24,Metro Hospital,Abuja,Ultrasound,HealthEquip Ltd.,UK
1560,50,130,2024-02-29,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
1561,20,270,2024-03-05,City Medical Center,Lagos,MRI Machine,MedTech Co.,USA
1562,6,300,2024-03-10,General Hospital,Rivers,CT Scanner,TechHealth Inc.,Canada
1563,15,250,2024-03-15,Central Clinic,Ogun,Ultrasound,HealthEquip Ltd.,UK
1564,4,450,2024-03-20,Healing Touch Hospital,Enugu,MRI Machine,Radiant Suppliers,China
1565,25,180,2024-03-25,Sunshine Medical,Lagos,X-Ray Machine,MedTech Co.,USA
1566,18,600,2024-03-30,Hope Clinic,Kano,CT Scanner,HealthEquip Ltd.,UK
1567,14,150,2024-04-04,Metro Medical Center,Abuja,Ultrasound,TechHealth Inc.,Canada
1568,11,200,2024-04-09,State Medical Center,Oyo,MRI Machine,MedTech Co.,USA
1569,30,400,2024-04-14,General Clinic,Lagos,CT Scanner,HealthEquip Ltd.,UK
1570,10,150,2024-04-19,City Hospital,Rivers,Ultrasound,TechHealth Inc.,Canada
1571,12,350,2024-04-24,Hope Hospital,Abuja,MRI Machine,Radiant Suppliers,China
1572,10,450,2024-04-29,Healing Hands Hospital,Enugu,X-Ray Machine,HealthEquip Ltd.,UK
1573,5,600,2024-05-04,Central Hospital,Kaduna,Ultrasound,MedTech Co.,USA
1574,20,120,2024-05-09,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
1575,15,330,2024-05-14,City Medical Center,Lagos,MRI Machine,TechHealth Inc.,Canada
1576,10,450,2024-05-19,Central Hospital,Rivers,Ultrasound,HealthEquip Ltd.,UK
1577,7,200,2024-05-24,Metro Hospital,Abuja,X-Ray Machine,Radiant Suppliers,China
1578,25,280,2024-05-29,Hope Clinic,Kano,CT Scanner,TechHealth Inc.,Canada
1579,30,400,2024-06-03,Sunshine Hospital,Lagos,MRI Machine,MedTech Co.,USA
1580,15,170,2024-06-08,General Hospital,Enugu,Ultrasound,HealthEquip Ltd.,UK
1581,12,300,2024-06-13,State Medical Center,Oyo,CT Scanner,MedTech Co.,USA
1582,6,400,2024-06-18,Healing Hands Hospital,Rivers,MRI Machine,HealthEquip Ltd.,Canada
1583,8,250,2024-06-23,Metro Medical Center,Abuja,X-Ray Machine,TechHealth Inc.,UK
1584,14,150,2024-06-28,Central Clinic,Kaduna,Ultrasound,MedTech Co.,China
1585,25,220,2024-07-03,Community Hospital,Lagos,MRI Machine,MedTech Co.,USA
1586,18,600,2024-07-08,Sunshine Medical,Kano,CT Scanner,HealthEquip Ltd.,UK
1587,10,150,2024-07-13,Hope Hospital,Enugu,Ultrasound,Radiant Suppliers,China
1588,11,300,2024-07-18,City Medical Center,Oyo,X-Ray Machine,HealthEquip Ltd.,UK
1589,25,320,2024-07-23,State Hospital,Lagos,MRI Machine,Radiant Suppliers,China
1590,12,400,2024-07-28,General Hospital,Kaduna,CT Scanner,HealthEquip Ltd.,UK
1591,30,200,2024-08-02,Healing Touch Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
1592,15,150,2024-08-07,Metro Hospital,Abuja,Ultrasound,TechHealth Inc.,Canada
1593,20,350,2024-08-12,Central Hospital,Enugu,MRI Machine,MedTech Co.,USA
1594,5,450,2024-08-17,Sunshine Hospital,Lagos,CT Scanner,HealthEquip Ltd.,UK
1595,10,250,2024-08-22,Community Hospital,Abuja,Ultrasound,Radiant Suppliers,China
1596,14,150,2024-08-27,Hope Clinic,Kano,MRI Machine,TechHealth Inc.,Canada
1597,20,300,2024-09-01,Healing Hands Hospital,Lagos,Defibrillator,SoloSupplier Inc.,UK
1598,5,750,2024-09-06,City Hospital,Rivers,Ventilator,ExclusiveTech Ltd.,Germany
1599,10,400,2024-09-11,Metro Medical Center,Abuja,Surgical Table,HealthEquip Ltd.,UK
1600,12,200,2024-09-16,State Hospital,Oyo,MRI Machine,MedTech Co.,USA
1601,10,250,2024-01-15,General Hospital,Lagos,MRI Machine,MedTech Co.,USA
1602,5,200,2024-01-20,City Hospital,Abuja,MRI Machine,HealthEquip Ltd.,UK
1603,20,150,2024-01-25,Central Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
1604,15,300,2024-01-30,Sunshine Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
1605,8,500,2024-02-04,Community Hospital,Kaduna,Ultrasound,HealthEquip Ltd.,UK
1606,12,180,2024-02-09,Healing Hands Hospital,Enugu,X-Ray Machine,Radiant Suppliers,China
1607,25,220,2024-02-14,Hope Hospital,Kano,MRI Machine,MedTech Co.,USA
1608,30,320,2024-02-19,Unity Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
1609,10,550,2024-02-24,Metro Hospital,Abuja,Ultrasound,HealthEquip Ltd.,UK
1610,50,130,2024-02-29,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
1611,20,270,2024-03-05,City Medical Center,Lagos,MRI Machine,MedTech Co.,USA
1612,6,300,2024-03-10,General Hospital,Rivers,CT Scanner,TechHealth Inc.,Canada
1613,15,250,2024-03-15,Central Clinic,Ogun,Ultrasound,HealthEquip Ltd.,UK
1614,4,450,2024-03-20,Healing Touch Hospital,Enugu,MRI Machine,Radiant Suppliers,China
1615,25,180,2024-03-25,Sunshine Medical,Lagos,X-Ray Machine,MedTech Co.,USA
1616,18,600,2024-03-30,Hope Clinic,Kano,CT Scanner,HealthEquip Ltd.,UK
1617,14,150,2024-04-04,Metro Medical Center,Abuja,Ultrasound,TechHealth Inc.,Canada
1618,11,200,2024-04-09,State Medical Center,Oyo,MRI Machine,MedTech Co.,USA
1619,30,400,2024-04-14,General Clinic,Lagos,CT Scanner,HealthEquip Ltd.,UK
1620,10,150,2024-04-19,City Hospital,Rivers,Ultrasound,TechHealth Inc.,Canada
1621,12,350,2024-04-24,Hope Hospital,Abuja,MRI Machine,Radiant Suppliers,China
1622,10,450,2024-04-29,Healing Hands Hospital,Enugu,X-Ray Machine,HealthEquip Ltd.,UK
1623,5,600,2024-05-04,Central Hospital,Kaduna,Ultrasound,MedTech Co.,USA
1624,20,120,2024-05-09,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
1625,15,330,2024-05-14,City Medical Center,Lagos,MRI Machine,TechHealth Inc.,Canada
1626,10,450,2024-05-19,Central Hospital,Rivers,Ultrasound,HealthEquip Ltd.,UK
1627,7,200,2024-05-24,Metro Hospital,Abuja,X-Ray Machine,Radiant Suppliers,China
1628,25,280,2024-05-29,Hope Clinic,Kano,CT Scanner,TechHealth Inc.,Canada
1629,30,400,2024-06-03,Sunshine Hospital,Lagos,MRI Machine,MedTech Co.,USA
1630,15,170,2024-06-08,General Hospital,Enugu,Ultrasound,HealthEquip Ltd.,UK
1631,12,300,2024-06-13,State Medical Center,Oyo,CT Scanner,MedTech Co.,USA
1632,6,400,2024-06-18,Healing Hands Hospital,Rivers,MRI Machine,HealthEquip Ltd.,Canada
1633,8,250,2024-06-23,Metro Medical Center,Abuja,X-Ray Machine,TechHealth Inc.,UK
1634,14,150,2024-06-28,Central Clinic,Kaduna,Ultrasound,MedTech Co.,China
1635,25,220,2024-07-03,Community Hospital,Lagos,MRI Machine,MedTech Co.,USA
1636,18,600,2024-07-08,Sunshine Medical,Kano,CT Scanner,HealthEquip Ltd.,UK
1637,10,150,2024-07-13,Hope Hospital,Enugu,Ultrasound,Radiant Suppliers,China
1638,11,300,2024-07-18,City Medical Center,Oyo,X-Ray Machine,HealthEquip Ltd.,UK
1639,25,320,2024-07-23,State Hospital,Lagos,MRI Machine,Radiant Suppliers,China
1640,12,400,2024-07-28,General Hospital,Kaduna,CT Scanner,HealthEquip Ltd.,UK
1641,30,200,2024-08-02,Healing Touch Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
1642,15,150,2024-08-07,Metro Hospital,Abuja,Ultrasound,TechHealth Inc.,Canada
1643,20,350,2024-08-12,Central Hospital,Enugu,MRI Machine,MedTech Co.,USA
1644,5,450,2024-08-17,Sunshine Hospital,Lagos,CT Scanner,HealthEquip Ltd.,UK
1645,10,250,2024-08-22,Community Hospital,Abuja,Ultrasound,Radiant Suppliers,China
1646,14,150,2024-08-27,Hope Clinic,Kano,MRI Machine,TechHealth Inc.,Canada
1647,20,300,2024-09-01,Healing Hands Hospital,Lagos,Defibrillator,SoloSupplier Inc.,UK
1648,5,750,2024-09-06,City Hospital,Rivers,Ventilator,ExclusiveTech Ltd.,Germany
1649,10,400,2024-09-11,Metro Medical Center,Abuja,Surgical Table,HealthEquip Ltd.,UK
1650,12,200,2024-09-16,State Hospital,Oyo,MRI Machine,MedTech Co.,USA
1651,10,250,2024-01-15,General Hospital,Lagos,MRI Machine,MedTech Co.,USA
1652,5,200,2024-01-20,City Hospital,Abuja,MRI Machine,HealthEquip Ltd.,UK
1653,20,150,2024-01-25,Central Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
1654,15,300,2024-01-30,Sunshine Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
1655,8,500,2024-02-04,Community Hospital,Kaduna,Ultrasound,HealthEquip Ltd.,UK
1656,12,180,2024-02-09,Healing Hands Hospital,Enugu,X-Ray Machine,Radiant Suppliers,China
1657,25,220,2024-02-14,Hope Hospital,Kano,MRI Machine,MedTech Co.,USA
1658,30,320,2024-02-19,Unity Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
1659,10,550,2024-02-24,Metro Hospital,Abuja,Ultrasound,HealthEquip Ltd.,UK
1660,50,130,2024-02-29,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
1661,20,270,2024-03-05,City Medical Center,Lagos,MRI Machine,MedTech Co.,USA
1662,6,300,2024-03-10,General Hospital,Rivers,CT Scanner,TechHealth Inc.,Canada
1663,15,250,2024-03-15,Central Clinic,Ogun,Ultrasound,HealthEquip Ltd.,UK
1664,4,450,2024-03-20,Healing Touch Hospital,Enugu,MRI Machine,Radiant Suppliers,China
1665,25,180,2024-03-25,Sunshine Medical,Lagos,X-Ray Machine,MedTech Co.,USA
1666,18,600,2024-03-30,Hope Clinic,Kano,CT Scanner,HealthEquip Ltd.,UK
1667,14,150,2024-04-04,Metro Medical Center,Abuja,Ultrasound,TechHealth Inc.,Canada
1668,11,200,2024-04-09,State Medical Center,Oyo,MRI Machine,MedTech Co.,USA
1669,30,400,2024-04-14,General Clinic,Lagos,CT Scanner,HealthEquip Ltd.,UK
1670,10,150,2024-04-19,City Hospital,Rivers,Ultrasound,TechHealth Inc.,Canada
1671,12,350,2024-04-24,Hope Hospital,Abuja,MRI Machine,Radiant Suppliers,China
1672,10,450,2024-04-29,Healing Hands Hospital,Enugu,X-Ray Machine,HealthEquip Ltd.,UK
1673,5,600,2024-05-04,Central Hospital,Kaduna,Ultrasound,MedTech Co.,USA
1674,20,120,2024-05-09,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
1675,15,330,2024-05-14,City Medical Center,Lagos,MRI Machine,TechHealth Inc.,Canada
1676,10,450,2024-05-19,Central Hospital,Rivers,Ultrasound,HealthEquip Ltd.,UK
1677,7,200,2024-05-24,Metro Hospital,Abuja,X-Ray Machine,Radiant Suppliers,China
1678,25,280,2024-05-29,Hope Clinic,Kano,CT Scanner,TechHealth Inc.,Canada
1679,30,400,2024-06-03,Sunshine Hospital,Lagos,MRI Machine,MedTech Co.,USA
1680,15,170,2024-06-08,General Hospital,Enugu,Ultrasound,HealthEquip Ltd.,UK
1681,12,300,2024-06-13,State Medical Center,Oyo,CT Scanner,MedTech Co.,USA
1682,6,400,2024-06-18,Healing Hands Hospital,Rivers,MRI Machine,HealthEquip Ltd.,Canada
1683,8,250,2024-06-23,Metro Medical Center,Abuja,X-Ray Machine,TechHealth Inc.,UK
1684,14,150,2024-06-28,Central Clinic,Kaduna,Ultrasound,MedTech Co.,China
1685,25,220,2024-07-03,Community Hospital,Lagos,MRI Machine,MedTech Co.,USA
1686,18,600,2024-07-08,Sunshine Medical,Kano,CT Scanner,HealthEquip Ltd.,UK
1687,10,150,2024-07-13,Hope Hospital,Enugu,Ultrasound,Radiant Suppliers,China
1688,11,300,2024-07-18,City Medical Center,Oyo,X-Ray Machine,HealthEquip Ltd.,UK
1689,25,320,2024-07-23,State Hospital,Lagos,MRI Machine,Radiant Suppliers,China
1690,12,400,2024-07-28,General Hospital,Kaduna,CT Scanner,HealthEquip Ltd.,UK
1691,30,200,2024-08-02,Healing Touch Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
1692,15,150,2024-08-07,Metro Hospital,Abuja,Ultrasound,TechHealth Inc.,Canada
1693,20,350,2024-08-12,Central Hospital,Enugu,MRI Machine,MedTech Co.,USA
1694,5,450,2024-08-17,Sunshine Hospital,Lagos,CT Scanner,HealthEquip Ltd.,UK
1695,10,250,2024-08-22,Community Hospital,Abuja,Ultrasound,Radiant Suppliers,China
1696,14,150,2024-08-27,Hope Clinic,Kano,MRI Machine,TechHealth Inc.,Canada
1697,20,300,2024-09-01,Healing Hands Hospital,Lagos,Defibrillator,SoloSupplier Inc.,UK
1698,5,750,2024-09-06,City Hospital,Rivers,Ventilator,ExclusiveTech Ltd.,Germany
1699,10,400,2024-09-11,Metro Medical Center,Abuja,Surgical Table,HealthEquip Ltd.,UK
1700,12,200,2024-09-16,State Hospital,Oyo,MRI Machine,MedTech Co.,USA
1701,10,250,2024-01-15,General Hospital,Lagos,MRI Machine,MedTech Co.,USA
1702,5,200,2024-01-20,City Hospital,Abuja,MRI Machine,HealthEquip Ltd.,UK
1703,20,150,2024-01-25,Central Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
1704,15,300,2024-01-30,Sunshine Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
1705,8,500,2024-02-04,Community Hospital,Kaduna,Ultrasound,HealthEquip Ltd.,UK
1706,12,180,2024-02-09,Healing Hands Hospital,Enugu,X-Ray Machine,Radiant Suppliers,China
1707,25,220,2024-02-14,Hope Hospital,Kano,MRI Machine,MedTech Co.,USA
1708,30,320,2024-02-19,Unity Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
1709,10,550,2024-02-24,Metro Hospital,Abuja,Ultrasound,HealthEquip Ltd.,UK
1710,50,130,2024-02-29,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
1711,20,270,2024-03-05,City Medical Center,Lagos,MRI Machine,MedTech Co.,USA
1712,6,300,2024-03-10,General Hospital,Rivers,CT Scanner,TechHealth Inc.,Canada
1713,15,250,2024-03-15,Central Clinic,Ogun,Ultrasound,HealthEquip Ltd.,UK
1714,4,450,2024-03-20,Healing Touch Hospital,Enugu,MRI Machine,Radiant Suppliers,China
1715,25,180,2024-03-25,Sunshine Medical,Lagos,X-Ray Machine,MedTech Co.,USA
1716,18,600,2024-03-30,Hope Clinic,Kano,CT Scanner,HealthEquip Ltd.,UK
1717,14,150,2024-04-04,Metro Medical Center,Abuja,Ultrasound,TechHealth Inc.,Canada
1718,11,200,2024-04-09,State Medical Center,Oyo,MRI Machine,MedTech Co.,USA
1719,30,400,2024-04-14,General Clinic,Lagos,CT Scanner,HealthEquip Ltd.,UK
1720,10,150,2024-04-19,City Hospital,Rivers,Ultrasound,TechHealth Inc.,Canada
1721,12,350,2024-04-24,Hope Hospital,Abuja,MRI Machine,Radiant Suppliers,China
1722,10,450,2024-04-29,Healing Hands Hospital,Enugu,X-Ray Machine,HealthEquip Ltd.,UK
1723,5,600,2024-05-04,Central Hospital,Kaduna,Ultrasound,MedTech Co.,USA
1724,20,120,2024-05-09,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
1725,15,330,2024-05-14,City Medical Center,Lagos,MRI Machine,TechHealth Inc.,Canada
1726,10,450,2024-05-19,Central Hospital,Rivers,Ultrasound,HealthEquip Ltd.,UK
1727,7,200,2024-05-24,Metro Hospital,Abuja,X-Ray Machine,Radiant Suppliers,China
1728,25,280,2024-05-29,Hope Clinic,Kano,CT Scanner,TechHealth Inc.,Canada
1729,30,400,2024-06-03,Sunshine Hospital,Lagos,MRI Machine,MedTech Co.,USA
1730,15,170,2024-06-08,General Hospital,Enugu,Ultrasound,HealthEquip Ltd.,UK
1731,12,300,2024-06-13,State Medical Center,Oyo,CT Scanner,MedTech Co.,USA
1732,6,400,2024-06-18,Healing Hands Hospital,Rivers,MRI Machine,HealthEquip Ltd.,Canada
1733,8,250,2024-06-23,Metro Medical Center,Abuja,X-Ray Machine,TechHealth Inc.,UK
1734,14,150,2024-06-28,Central Clinic,Kaduna,Ultrasound,MedTech Co.,China
1735,25,220,2024-07-03,Community Hospital,Lagos,MRI Machine,MedTech Co.,USA
1736,18,600,2024-07-08,Sunshine Medical,Kano,CT Scanner,HealthEquip Ltd.,UK
1737,10,150,2024-07-13,Hope Hospital,Enugu,Ultrasound,Radiant Suppliers,China
1738,11,300,2024-07-18,City Medical Center,Oyo,X-Ray Machine,HealthEquip Ltd.,UK
1739,25,320,2024-07-23,State Hospital,Lagos,MRI Machine,Radiant Suppliers,China
1740,12,400,2024-07-28,General Hospital,Kaduna,CT Scanner,HealthEquip Ltd.,UK
1741,30,200,2024-08-02,Healing Touch Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
1742,15,150,2024-08-07,Metro Hospital,Abuja,Ultrasound,TechHealth Inc.,Canada
1743,20,350,2024-08-12,Central Hospital,Enugu,MRI Machine,MedTech Co.,USA
1744,5,450,2024-08-17,Sunshine Hospital,Lagos,CT Scanner,HealthEquip Ltd.,UK
1745,10,250,2024-08-22,Community Hospital,Abuja,Ultrasound,Radiant Suppliers,China
1746,14,150,2024-08-27,Hope Clinic,Kano,MRI Machine,TechHealth Inc.,Canada
1747,20,300,2024-09-01,Healing Hands Hospital,Lagos,Defibrillator,SoloSupplier Inc.,UK
